colony,treatment,emigration,ID,age,colour
55,choice,1,ygo,old,blue
55,choice,1,yog,old,blue
55,choice,1,ywy,old,none
55,choice,1,yyb,old,blue
55,choice,1,b,old,blue
55,choice,1,w,dead,blue
55,choice,1,oww,new,none
55,choice,1,bby,new,none
55,choice,1,boo,new,none
55,choice,1,gbb,new,none
55,choice,1,gwg,new,none
55,choice,1,gow,new,none
55,choice,1,bgg,new,none
55,choice,1,opp,new,none
55,choice,1,pyp,new,none
55,choice,2,bwb,old,none
55,choice,2,gbo,old,none
55,choice,2,gyy,old,none
55,choice,2,obg,old,yellow
55,choice,2,ogy,old,green
55,choice,2,oob,old,blue
55,choice,2,oyo,old,blue
55,choice,2,wgg,old,blue
55,choice,2,woy,old,blue
55,choice,2,wwo,old,blue
55,choice,2,wyw,old,yellow
55,choice,2,ybw,old,green
55,choice,2,ygo,old,yellow
55,choice,2,yog,old,green
55,choice,2,ywy,old,none
55,choice,2,yyb,old,blue
55,choice,2,b,old,blue
55,choice,2,w,dead,none
55,choice,2,oww,new,blue
55,choice,2,bby,new,none
55,choice,2,boo,new,none
55,choice,2,gbb,new,none
55,choice,2,gwg,new,none
55,choice,2,gow,new,none
55,choice,2,bgg,new,none
55,choice,2,opp,new,none
55,choice,2,pyp,new,none
55,choice,3,bwb,old,yellow
55,choice,3,gbo,old,yellow
55,choice,3,gyy,old,yellow
55,choice,3,obg,old,yellow
55,choice,3,ogy,old,yellow
55,choice,3,oob,old,yellow
55,choice,3,oyo,old,yellow
55,choice,3,wgg,old,yellow
55,choice,3,woy,old,yellow
55,choice,3,wwo,old,yellow
55,choice,3,wyw,old,yellow
55,choice,3,ybw,old,yellow
55,choice,3,ygo,old,none
55,choice,3,yog,old,yellow
55,choice,3,ywy,old,none
55,choice,3,yyb,old,none
55,choice,3,b,old,none
55,choice,3,w,dead,none
55,choice,3,oww,new,yellow
55,choice,3,bby,new,yellow
55,choice,3,boo,new,yellow
55,choice,3,gbb,new,yellow
55,choice,3,gwg,new,yellow
55,choice,3,gow,new,none
55,choice,3,bgg,new,none
55,choice,3,opp,new,none
